Keyword,Similar Word,Similarity
interest,rise,0.7677145600318909
interest,high,0.7074404358863831
interest,demand,0.6746357679367065
interest,mortgage,0.6632840037345886
interest,customer,0.6374880075454712
interest,although,0.6267930269241333
interest,concern,0.6185686588287354
interest,continue,0.6086676120758057
interest,because,0.5956417322158813
interest,potential,0.5947926640510559
inflation,pressure,0.6396711468696594
inflation,overall,0.6193118095397949
inflation,employment,0.6172086596488953
inflation,rise,0.6100820899009705
inflation,growth,0.5757243633270264
inflation,contact,0.5660742521286011
inflation,high,0.5609913468360901
inflation,increase,0.5582101345062256
inflation,interest,0.557598888874054
inflation,however,0.5546696782112122
invest,automation,0.5592719316482544
invest,investment,0.5321351289749146
invest,technology,0.5229327082633972
invest,laborsave,0.4902175962924957
invest,upgrade,0.48699721693992615
invest,capital,0.46175405383110046
invest,expansion,0.4529174566268921
invest,shift,0.44615262746810913
invest,analytic,0.4425136148929596
invest,generation,0.43557536602020264
credit,standard,0.7376619577407837
credit,lending,0.7292903065681458
credit,quality,0.69619220495224
credit,banker,0.6483830213546753
credit,mortgage,0.5976558923721313
credit,delinquency,0.5959301590919495
credit,lender,0.5825235247612
credit,banking,0.5713590979576111
credit,deposit,0.5665526986122131
credit,tighten,0.5623334050178528
market,continue,0.7384638786315918
market,estate,0.73365318775177
market,remain,0.7297775745391846
market,demand,0.6980801224708557
market,activity,0.6937795877456665
market,contact,0.6919730305671692
market,slightly,0.6516593098640442
market,commercial,0.6503112316131592
market,sector,0.6394237875938416
market,however,0.6367672085762024
capital,expenditure,0.8644536733627319
capital,investment,0.7155721187591553
capital,plan,0.5686520934104919
capital,equipment,0.5404801964759827
capital,production,0.5226345658302307
capital,energy,0.5139182209968567
capital,fiscal,0.5133426189422607
capital,additional,0.49837759137153625
capital,budget,0.49381139874458313
capital,future,0.49332815408706665
trade,skilled,0.7177461981773376
trade,worker,0.517047107219696
trade,laborer,0.49505868554115295
trade,nurse,0.4842529296875
trade,carpenter,0.48008641600608826
trade,technician,0.476249635219574
trade,hourly,0.47510024905204773
trade,occupation,0.4693461060523987
trade,engineer,0.4650261402130127
trade,certain,0.4626954197883606
