Keyword,Similar Word,Similarity
interest,margin,0.6506549715995789
interest,narrow,0.5968135595321655
interest,oncoming,0.5921069383621216
interest,bear,0.5465289354324341
interest,profitability,0.5063350796699524
interest,squeeze,0.4964771270751953
interest,provision,0.4897272288799286
interest,deposit,0.4642675518989563
interest,package,0.4606380760669708
interest,ployer,0.457119882106781
rate,occupancy,0.4639424979686737
rate,delinquency,0.4559672474861145
rate,interestbeare,0.43965083360671997
rate,latesummer,0.43525323271751404
rate,passenger,0.4325120747089386
rate,vacancy,0.4286995530128479
rate,airport,0.4277556240558624
rate,interest,0.42465880513191223
rate,liquidity,0.41563132405281067
rate,absorption,0.40981388092041016
inflation,marginally,0.9081820845603943
inflation,describe,0.6905869841575623
inflation,instead,0.6900978684425354
inflation,scarcity,0.680759847164154
inflation,spotty,0.6489517688751221
inflation,lowerpaid,0.6259340047836304
inflation,lag,0.6040539741516113
inflation,erately,0.5985933542251587
inflation,intermittent,0.5948493480682373
inflation,noticeably,0.5850555896759033
credit,bear,0.6126760840415955
credit,standard,0.5568031668663025
credit,debit,0.5439437031745911
credit,squeeze,0.5276972651481628
credit,sonally,0.5155311822891235
credit,accessing,0.5062088370323181
credit,middle,0.5049476623535156
credit,allow,0.4999833106994629
credit,normalize,0.4967370331287384
credit,financier,0.495138943195343
market,grower,0.4206065833568573
market,headwind,0.4195127785205841
market,home,0.40685662627220154
market,principally,0.4061943590641022
market,earning,0.40469107031822205
market,stabilization,0.40451580286026
market,fruit,0.40211597084999084
market,asian,0.39714309573173523
market,longterm,0.39287734031677246
market,raisin,0.3897232711315155
