Keyword,Similar Word,Similarity
interest,oncoming,0.5135091543197632
interest,remain,0.4993102252483368
interest,margin,0.4924134910106659
interest,demand,0.4819401502609253
interest,brisker,0.4728947579860687
interest,climbing,0.4669633209705353
interest,strong,0.447799950838089
interest,device,0.44296765327453613
interest,nication,0.4367314279079437
interest,concern,0.43436262011528015
inflation,strip,0.4313606023788452
inflation,depart,0.43050768971443176
inflation,respective,0.42305347323417664
inflation,undergo,0.3911159038543701
inflation,pressure,0.3894789516925812
inflation,employer,0.3804968595504761
inflation,creasingly,0.373705118894577
inflation,employment,0.3734716773033142
inflation,spurred,0.36766520142555237
inflation,reassess,0.3615345358848572
invest,hardening,0.4731524586677551
invest,automation,0.42416292428970337
invest,integration,0.42411136627197266
invest,laborsave,0.41760173439979553
invest,tiously,0.41733625531196594
invest,surprisingly,0.4150915741920471
invest,counseling,0.4069511294364929
invest,justing,0.40306633710861206
invest,interestbearing,0.4019598364830017
invest,administrator,0.39570462703704834
trade,skilled,0.550247848033905
trade,electrician,0.5205875039100647
trade,chanic,0.4967155158519745
trade,machinist,0.48050379753112793
trade,feature,0.45312246680259705
trade,digits,0.4460650384426117
trade,ployee,0.44207069277763367
trade,expedite,0.4352443516254425
trade,framing,0.42411181330680847
trade,pessimis,0.4220302700996399
uncertain,highly,0.5045948028564453
uncertain,outlook,0.4654637277126312
uncertain,disrup,0.43953797221183777
uncertain,navigate,0.4225521385669708
uncertain,predict,0.42164847254753113
uncertain,pening,0.4192064106464386
uncertain,oncoming,0.4090231657028198
uncertain,loom,0.4060085713863373
uncertain,ferral,0.39999330043792725
uncertain,optimistic,0.39834514260292053
