Keyword,Similar Word,Similarity
interest,brisker,0.47777244448661804
interest,remain,0.47206053137779236
interest,oncoming,0.47076889872550964
interest,bearing,0.46385759115219116
interest,climbing,0.4593850374221802
interest,demand,0.45323437452316284
interest,strong,0.44890841841697693
interest,observation,0.4475647509098053
interest,rise,0.44571858644485474
interest,margin,0.43307793140411377
inflation,respective,0.47415241599082947
inflation,undergo,0.4486389756202698
inflation,pressure,0.4396183490753174
inflation,departure,0.39989736676216125
inflation,strip,0.3983462154865265
inflation,though,0.38060006499290466
inflation,communitybase,0.3715057373046875
inflation,marginally,0.36841946840286255
inflation,incorpo,0.3674774765968323
inflation,creasingly,0.36702993512153625
invest,hardening,0.4692020118236542
invest,tiously,0.43710944056510925
invest,justing,0.4370717406272888
invest,laborsave,0.42641058564186096
invest,endus,0.42224639654159546
invest,conductor,0.40683913230895996
invest,automation,0.398106187582016
invest,integration,0.39739990234375
invest,cination,0.38995346426963806
invest,interestbearing,0.3822547495365143
credit,quality,0.6427980661392212
credit,standard,0.6375724673271179
credit,lending,0.5988339185714722
credit,collateral,0.5462066531181335
credit,lowrate,0.49367716908454895
credit,commercial,0.48909813165664673
credit,favora,0.48899954557418823
credit,mortgage,0.48624980449676514
credit,worthiness,0.4807366132736206
credit,decline,0.4761849343776703
market,estate,0.6935288310050964
market,remain,0.6829978823661804
market,continue,0.6695648431777954
market,commercial,0.628915011882782
market,activity,0.6213245987892151
market,residential,0.6081314086914062
market,inventory,0.5942234396934509
market,demand,0.5730200409889221
market,office,0.567042887210846
market,contact,0.5532848238945007
capital,expenditure,0.8288688063621521
capital,strictions/,0.5319575667381287
capital,bumper,0.4741286337375641
capital,investment,0.4529257118701935
capital,clinic,0.4461522102355957
capital,unrest,0.44351330399513245
capital,opt,0.4404304027557373
capital,expendi,0.4357109069824219
capital,expect,0.43057918548583984
capital,spending,0.42917728424072266
trade,skilled,0.5868552327156067
trade,machinist,0.509258508682251
trade,electrician,0.49702197313308716
trade,chanic,0.47906795144081116
trade,interestbeare,0.45136040449142456
trade,expedite,0.44252651929855347
trade,ployee,0.43429672718048096
trade,similarsize,0.41697680950164795
trade,framing,0.40977707505226135
trade,assistant,0.40820765495300293
