Keyword,Similar Word,Similarity
interest,rise,0.7294764518737793
interest,rate,0.7217790484428406
interest,demand,0.6994678974151611
interest,high,0.6871678829193115
interest,continue,0.6417201161384583
interest,mortgage,0.6275749206542969
interest,uncertainty,0.6226679682731628
interest,concern,0.6185134649276733
interest,contact,0.6180373430252075
interest,note,0.6060781478881836
inflation,contact,0.5871202349662781
inflation,continue,0.5728957653045654
inflation,labor,0.5718417167663574
inflation,concern,0.5712416172027588
inflation,pressure,0.5708942413330078
inflation,rise,0.5694882273674011
inflation,wage,0.5626196265220642
inflation,increase,0.5613197684288025
inflation,price,0.5596662759780884
inflation,overall,0.5569924116134644
credit,loan,0.6701085567474365
credit,standard,0.6693711280822754
credit,lending,0.6618122458457947
credit,quality,0.6452676653862
credit,banker,0.6326354146003723
credit,tighten,0.5989841222763062
credit,delinquency,0.5582073330879211
credit,commercial,0.5538228750228882
credit,deposit,0.5382813215255737
credit,banking,0.5295116305351257
trade,wholesale,0.735112190246582
trade,professional,0.5471404194831848
trade,skilled,0.5370007157325745
trade,hightech,0.516671359539032
trade,ahead,0.5113116502761841
trade,health,0.49552226066589355
trade,sell,0.48585209250450134
trade,pick,0.4714069664478302
trade,industry,0.47116878628730774
trade,include,0.4699779450893402
bank,loan,0.565565288066864
bank,delinquency,0.5639907121658325
bank,standard,0.5528165102005005
bank,lender,0.5498917102813721
bank,deposit,0.534912109375
bank,banker,0.5326550602912903
bank,mortgage,0.5308917164802551
bank,credit,0.5178592205047607
bank,small,0.5079378485679626
bank,commercial,0.4996493458747864
